Date,Consumer Confidence Index (OECD)
4/1/2011 0:00,98.8973
5/1/2011 0:00,98.89012
6/1/2011 0:00,98.80638
7/1/2011 0:00,98.56987
8/1/2011 0:00,98.28944
9/1/2011 0:00,98.17825
10/1/2011 0:00,98.19303
11/1/2011 0:00,98.32631
12/1/2011 0:00,98.51463
1/1/2012 0:00,98.72513
2/1/2012 0:00,98.87511
3/1/2012 0:00,98.94374
4/1/2012 0:00,98.94542
5/1/2012 0:00,98.91327
6/1/2012 0:00,98.81944
7/1/2012 0:00,98.76627
8/1/2012 0:00,98.76446
9/1/2012 0:00,98.80578
10/1/2012 0:00,98.86489
11/1/2012 0:00,98.87296
12/1/2012 0:00,98.82452
1/1/2013 0:00,98.89362
2/1/2013 0:00,99.01271
3/1/2013 0:00,99.12348
4/1/2013 0:00,99.23125
5/1/2013 0:00,99.37845
6/1/2013 0:00,99.50734
7/1/2013 0:00,99.61115
8/1/2013 0:00,99.6225
9/1/2013 0:00,99.56711
10/1/2013 0:00,99.49283
11/1/2013 0:00,99.519
12/1/2013 0:00,99.60428
1/1/2014 0:00,99.65906
2/1/2014 0:00,99.70682
3/1/2014 0:00,99.79501
4/1/2014 0:00,99.90526
5/1/2014 0:00,99.95933
6/1/2014 0:00,99.97205
7/1/2014 0:00,99.94855
8/1/2014 0:00,99.92897
9/1/2014 0:00,99.93961
10/1/2014 0:00,99.99325
11/1/2014 0:00,100.101
12/1/2014 0:00,100.2883
1/1/2015 0:00,100.4955
2/1/2015 0:00,100.6324
3/1/2015 0:00,100.6919
4/1/2015 0:00,100.6897
5/1/2015 0:00,100.6235
6/1/2015 0:00,100.5719
7/1/2015 0:00,100.463
8/1/2015 0:00,100.3733
9/1/2015 0:00,100.3439
10/1/2015 0:00,100.4492
11/1/2015 0:00,100.5844
12/1/2015 0:00,100.63
1/1/2016 0:00,100.5626
2/1/2016 0:00,100.4543
3/1/2016 0:00,100.391
4/1/2016 0:00,100.3953
5/1/2016 0:00,100.4485
6/1/2016 0:00,100.438
7/1/2016 0:00,100.358
8/1/2016 0:00,100.3404
9/1/2016 0:00,100.3743
10/1/2016 0:00,100.4098
11/1/2016 0:00,100.4799
12/1/2016 0:00,100.5358
1/1/2017 0:00,100.5303
2/1/2017 0:00,100.5556
3/1/2017 0:00,100.657
4/1/2017 0:00,100.7661
5/1/2017 0:00,100.8382
6/1/2017 0:00,100.8631
7/1/2017 0:00,100.8948
8/1/2017 0:00,100.9575
9/1/2017 0:00,101.0319
10/1/2017 0:00,101.1194
11/1/2017 0:00,101.1434
12/1/2017 0:00,101.1344
1/1/2018 0:00,101.1339
2/1/2018 0:00,101.1517
3/1/2018 0:00,101.1607
4/1/2018 0:00,101.1482
5/1/2018 0:00,101.1431
6/1/2018 0:00,101.1589
7/1/2018 0:00,101.1817
8/1/2018 0:00,101.1359
9/1/2018 0:00,101.0653
10/1/2018 0:00,100.9723
11/1/2018 0:00,100.8645
12/1/2018 0:00,100.7868
1/1/2019 0:00,100.7601
2/1/2019 0:00,100.8279
3/1/2019 0:00,100.9083
4/1/2019 0:00,100.923
5/1/2019 0:00,100.8905
6/1/2019 0:00,100.7944
7/1/2019 0:00,100.6655
8/1/2019 0:00,100.5151
9/1/2019 0:00,100.4945
10/1/2019 0:00,100.5669
11/1/2019 0:00,100.7072
12/1/2019 0:00,100.8085
1/1/2020 0:00,100.7368
2/1/2020 0:00,100.2475
3/1/2020 0:00,99.20002
4/1/2020 0:00,98.08272
5/1/2020 0:00,97.7346
6/1/2020 0:00,97.93919
7/1/2020 0:00,98.21606
8/1/2020 0:00,98.47051
9/1/2020 0:00,98.68694
10/1/2020 0:00,98.7682
11/1/2020 0:00,98.77956
12/1/2020 0:00,98.89305
1/1/2021 0:00,99.03268
2/1/2021 0:00,99.30976
3/1/2021 0:00,99.72045
4/1/2021 0:00,100.0472
5/1/2021 0:00,100.2936
6/1/2021 0:00,100.4461
7/1/2021 0:00,100.3459
8/1/2021 0:00,100.1066
9/1/2021 0:00,99.94366
10/1/2021 0:00,99.76162
11/1/2021 0:00,99.53439
12/1/2021 0:00,99.29358
1/1/2022 0:00,98.9581
2/1/2022 0:00,98.49379
3/1/2022 0:00,97.95032
4/1/2022 0:00,97.55595
5/1/2022 0:00,97.18167
6/1/2022 0:00,96.80901
7/1/2022 0:00,96.60945
8/1/2022 0:00,96.6187
9/1/2022 0:00,96.64194
10/1/2022 0:00,96.741
11/1/2022 0:00,96.92239
12/1/2022 0:00,97.1957
1/1/2023 0:00,97.50239
2/1/2023 0:00,97.74906
