Date,FTSE ALL Share,FTSE Small Cap Index
2009-03-01,1984.17,1757.56
2009-04-01,2173.06,2212.27
2009-05-01,2252.64,2280.99
2009-06-01,2172.08,2238.04
2009-07-01,2353.47,2391.63
2009-08-01,2520.66,2703.87
2009-09-01,2634.79,2888.06
2009-10-01,2584.59,2791.82
2009-11-01,2648.43,2717.81
2009-12-01,2760.8,2776.92
2010-01-01,2660.49,2807.27
2010-02-01,2736.8,2790.73
2010-03-01,2910.19,2887.74
2010-04-01,2863.35,2960.77
2010-05-01,2673.17,2748.92
2010-06-01,2543.47,2690.9
2010-07-01,2715.36,2782.43
2010-08-01,2696.72,2786.69
2010-09-01,2867.58,2978.2
2010-10-01,2936.15,3076.95
2010-11-01,2861.61,2995.34
2010-12-01,3062.85,3228.61
2011-01-01,3044.27,3257.98
2011-02-01,3106.58,3239.14
2011-03-01,3067.73,3222.5
2011-04-01,3155.03,3311.47
2011-05-01,3121.07,3293.12
2011-06-01,3096.72,3272.86
2011-07-01,3026.02,3261.87
2011-08-01,2800.51,3022.22
2011-09-01,2654.38,2805.3
2011-10-01,2860.86,2858.22
2011-11-01,2835.84,2752.78
2011-12-01,2857.88,2748.77
2012-01-01,2932.91,2921.02
2012-02-01,3043.91,3098.69
2012-03-01,3002.78,3140.58
2012-04-01,2984.67,3120.2
2012-05-01,2767.09,2907.75
2012-06-01,2891.45,2977.54
2012-07-01,2927.27,3006.7
2012-08-01,2972.63,3125.64
2012-09-01,2998.86,3215.27
2012-10-01,3024.4,3257.73
2012-11-01,3065.3,3274.76
2012-12-01,3093.41,3419.07
2013-01-01,3287.38,3632.09
2013-02-01,3349.39,3739.68
2013-03-01,3380.64,3805.59
2013-04-01,3390.17866,3830.66996
2013-05-01,3473.82175,3956.33543
2013-06-01,3289.70526,3816.46479
2013-07-01,3509.93946,4056.62198
2013-08-01,3410.42985,4098.39107
2013-09-01,3443.85314,4204.13121
2013-10-01,3585.32331,4362.43577
2013-11-01,3548.44628,4332.29913
2013-12-01,3609.62737,4431.11487
2014-01-01,3496.50978,4469.01195
2014-02-01,3666.66386,4597.14096
